has_driver	adj_passenger_density
True	0.0
False	2.348469647326844
True	0.0
False	2.61162710751066
False	4.209758901271539
False	4.062680721063864
False	3.2827029857818193
False	5.552288816277105
False	2.194644362308643
False	2.0329359284894406
True	9.417605410012836
True	0.0
True	0.0
True	0.0
True	0.0
True	0.0
True	0.0
True	0.0
False	26.150812628650076
False	133.39128248392714
False	68.0927582021241
False	29.25894269470457
True	118.82431438977794
True	131.84827617145567
False	125.6168524140521
True	0.0
False	34.17616993991045
False	10.918330573637068
False	40.84979824131495
False	15.185708775140165
False	46.82637266310724
True	0.0
False	27.455890181409572
False	21.750613651229568
True	0.0
False	44.03942474757399
False	16.883237595514576
True	8.000972965471624
True	7.571126465024751
False	7.104446076531171
True	12.02729252812109
True	6.034306322980343
False	14.56623123391026
False	3.5577373954395415
True	25.691330104968156
False	5.386602247551746
True	58.778555823752384
True	14712.042114668231
False	91.02332840448399
True	0.0
False	8.446958404561503
False	25.47930136441618
True	0.0
True	0.0
False	4.027974537870199
False	6.492811173589405
False	3.1329845009036377
False	4.602718917362509
False	0.5535848800405643
False	1.0008861553676303
False	1.1100657491924557
False	2.3917061878000383
False	3.8641021785083502
False	2.0424959132449145
True	0.0
False	8.355476644320397
True	0.0
True	0.0
True	0.0
False	2.132957863767054
False	0.9708119292252755
True	0.0
False	2.820330967174423
False	0.6676217374845144
True	0.0
False	5.1069795412694425
False	4.913576345860419
True	0.0
False	4.441893840699912
False	6.333979670914603
False	8.574367611392805
True	0.0
True	0.0
True	0.0
False	1.501449893542178
False	0.9265197051399857
False	1.7471930438126355
False	3.313853294970915
True	0.0
True	0.0
False	21.104375347989578
False	1.16626574368157
True	0.0
False	1.3228152201191938
False	1.4044466609326351
False	1.3336321467001917
True	0.0
False	2.007361736579778
False	0.8579288676662744
True	0.0
False	8.832216068564287
True	0.0
False	42.63303933561067
False	0.5330554895354477
True	0.0
True	0.0
False	4.786853171132937
False	7.189523650056462
True	0.0
True	0.0
True	0.0
False	1.0872453854979416
False	3.5856419396120374
False	3.1782594749504187
True	5.74137410980828
True	0.0
False	6.15241873793125
False	124.44515606804794
False	5.174660168209465
True	0.0
False	7.763099987205155
True	0.0
False	99.63055044463344
